first_name,last_name,email,date_of_birth,ID,above_18
Jennifer,Weaver,Jennifer_Weaver@patterson.com,19781015,Weaver_feb81,True
Brittany,Ellison,Brittany_Ellison@nolan.com,20040404,Ellison_93ac6,True
Leonard,Hamilton,Leonard_Hamilton@brown.com,19880229,Hamilton_f2276,True
Kathy,Phillips,Kathy_Phillips@floyd.com,19841216,Phillips_608c9,True
Jennifer,Jimenez,Jennifer_Jimenez@morgan.com,19921121,Jimenez_5ed59,True
Victoria,Lawson,Victoria_Lawson@snyder.com,19541204,Lawson_c755d,True
Michael,Martinez,Michael_Martinez@hogan.net,19521107,Martinez_bc0fc,True
Danielle,Tran,Danielle_Tran@mann.com,19880826,Tran_40aaa,True
Jeff,Freeman,Jeff_Freeman@guzman.com,20030520,Freeman_35a3d,True
Marissa,Jones,Marissa_Jones@lewis.net,19580806,Jones_cdd9f,True
Kimberly,Hopkins,Kimberly_Hopkins@adams.com,19931022,Hopkins_56d12,True
Erika,Stewart,Erika_Stewart@solis.com,19851226,Stewart_40f40,True
Christina,Johnson,Christina_Johnson@clark.com,20010622,Johnson_5dcd5,True
Kelli,Wells,Kelli_Wells@jones.com,19540308,Wells_5c2c0,True
Nathan,Archer,Nathan_Archer@gray.com,19560723,Archer_c6232,True
James,Rodriguez,James_Rodriguez@logan.com,19810717,Rodriguez_a7ea3,True
Robert,Ortega,Robert_Ortega@perez.com,19600316,Ortega_7f647,True
Teresa,Ruiz,Teresa_Ruiz@holmes.com,19510904,Ruiz_e89df,True
Madison,Mejia,Madison_Mejia@sims.com,19530323,Mejia_10b0a,True
James,Bailey,James_Bailey@flynn.net,19861007,Bailey_b3b3b,True
Mary,Perry,Mary_Perry@williams.net,19730808,Perry_e8625,True
Crystal,Jones,Crystal_Jones@webb.com,19620914,Jones_85733,True
Aaron,Brown,Aaron_Brown@yates.com,19860502,Brown_9035e,True
Tanya,Barajas,Tanya_Barajas@davis.com,19740430,Barajas_c09f8,True
Tony,Crawford,Tony_Crawford@moore.com,19870818,Crawford_a2a35,True
Randy,Sullivan,Randy_Sullivan@perez.net,19611025,Sullivan_7d828,True
Martin,Compton,Martin_Compton@morgan.com,19840602,Compton_395a9,True
Tracy,Brown,Tracy_Brown@joyce.com,19720823,Brown_8baf8,True
Leslie,Preston,Leslie_Preston@johns.com,19720510,Preston_d0922,True
Jay,Parker,Jay_Parker@fowler.net,19930930,Parker_311d6,True
Lance,Williams,Lance_Williams@williams.net,19730807,Williams_44d67,True
Kathleen,Allen,Kathleen_Allen@cook.com,19860113,Allen_b02ca,True
Marie,Lamb,Marie_Lamb@hampton.com,19790410,Lamb_5dc6d,True
Nathan,Flores,Nathan_Flores@gibbs.net,19790409,Flores_a43fb,True
Keith,Parker,Keith_Parker@moore.com,19640826,Parker_0793e,True
Melissa,Levy,Melissa_Levy@arroyo.com,19500330,Levy_bef91,True
Michael,Wu,Michael_Wu@gutierrez.com,20041130,Wu_c308d,True
Adam,Jones,Adam_Jones@ashley.com,19730316,Jones_575ba,True
Elizabeth,Andersen,Elizabeth_Andersen@baker.com,19740123,Andersen_61066,True
Stephanie,Decker,Stephanie_Decker@barrett.net,19770905,Decker_0c2ca,True
Michelle,Keller,Michelle_Keller@johnson.com,19510607,Keller_80065,True
Stacey,Yates,Stacey_Yates@lewis.com,19921208,Yates_0613f,True
Sue,Lee,Sue_Lee@rojas.com,19860829,Lee_f9df7,True
Anna,Long,Anna_Long@coleman.com,19740316,Long_850ab,True
James,Thomas,James_Thomas@torres.net,19520509,Thomas_6cc50,True
Kelli,Olson,Kelli_Olson@campbell.net,19960723,Olson_50aa7,True
Becky,Reid,Becky_Reid@vargas.net,19751027,Reid_1bdd4,True
Pamela,Boyd,Pamela_Boyd@freeman.com,19680628,Boyd_94bd7,True
Jeremy,Lewis,Jeremy_Lewis@murray.com,19530107,Lewis_644d9,True
Joseph,Perry,Joseph_Perry@tucker.com,19510616,Perry_b530f,True
Laura,Lopez,Laura_Lopez@rodriguez.com,19901221,Lopez_ea347,True
Beth,Martinez,Beth_Martinez@johnson.com,19681225,Martinez_204f4,True
Willie,Erickson,Willie_Erickson@bartlett.com,19910110,Erickson_3df9d,True
Daniel,Nguyen,Daniel_Nguyen@mccall.com,19590903,Nguyen_6a5e7,True
Leonard,Martinez,Leonard_Martinez@mcbride.com,19560922,Martinez_7564a,True
Robert,Stephens,Robert_Stephens@lopez.com,20000619,Stephens_5a6e3,True
Daniel,Chen,Daniel_Chen@little.com,19520716,Chen_7d3b1,True
Samuel,Dalton,Samuel_Dalton@marquez.com,19960916,Dalton_32ce4,True
Joshua,King,Joshua_King@hale.net,20000106,King_89592,True
Crystal,Blake,Crystal_Blake@parker.com,19701117,Blake_e7660,True
Amanda,Evans,Amanda_Evans@cox.com,19590224,Evans_62a52,True
Logan,Watkins,Logan_Watkins@hernandez.com,20000511,Watkins_c9964,True
Steven,Ortiz,Steven_Ortiz@hamilton.com,19670605,Ortiz_c84c2,True
Jennifer,Martin,Jennifer_Martin@moore.com,19830527,Martin_82381,True
Arthur,Chandler,Arthur_Chandler@martin.com,19610210,Chandler_4ab75,True
Ronald,Hudson,Ronald_Hudson@carson.com,19511003,Hudson_01af1,True
Dr.,Christopher,Christopher_Harrell@lindsey.com,19700630,Christopher_7257b,True
Kevin,Johnson,Kevin_Johnson@rogers.com,19930802,Johnson_a67f3,True
Jessica,Smith,Jessica_Smith@galloway.com,20040629,Smith_d7f57,True
Michael,Harrison,Michael_Harrison@franklin.com,19510819,Harrison_087c8,True
James,Rogers,James_Rogers@green.net,19930704,Rogers_656af,True
Kathleen,Tran,Kathleen_Tran@wilson.net,19740211,Tran_b0eca,True
Maxwell,Cole,Maxwell_Cole@larson.com,19510203,Cole_92aa4,True
Bethany,Williamson,Bethany_Williamson@flores.com,19540310,Williamson_2b72a,True
Joseph,Wright,Joseph_Wright@powell.net,19570521,Wright_f1b73,True
Heidi,Bolton,Heidi_Bolton@spencer.com,19560616,Bolton_06e0a,True
Daniel,Lewis,Daniel_Lewis@robertson.com,19770205,Lewis_e0082,True
Dale,Ramirez,Dale_Ramirez@patton.com,19550323,Ramirez_63293,True
Joseph,Buck,Joseph_Buck@jacobs.com,19520311,Buck_542b9,True
Victor,Owens,Victor_Owens@collins.com,19960815,Owens_620f1,True
Kimberly,Koch,Kimberly_Koch@rodriguez.net,19870125,Koch_43971,True
John,Rogers,John_Rogers@oneill.com,19710905,Rogers_160f6,True
Janet,Collins,Janet_Collins@farrell.com,19840721,Collins_120bd,True
Kristin,Lawson,Kristin_Lawson@salinas.com,19760111,Lawson_cbf97,True
Connie,Harper,Connie_Harper@lewis.com,19950627,Harper_709ac,True
Debbie,Burns,Debbie_Burns@salinas.com,19830806,Burns_f2b3a,True
Gabriel,Preston,Gabriel_Preston@black.com,19961120,Preston_b6298,True
Brandon,Orozco,Brandon_Orozco@greene.com,19870717,Orozco_02d2b,True
Kari,Nguyen,Kari_Nguyen@farley.com,19991119,Nguyen_6f546,True
Carrie,Martinez,Carrie_Martinez@hendrix.com,19740124,Martinez_a7c33,True
Linda,White,Linda_White@moore.com,19751015,White_e9960,True
Jake,Spencer,Jake_Spencer@murphy.com,20020509,Spencer_c21d7,True
Danielle,Stephens,Danielle_Stephens@miller.net,19610929,Stephens_baaae,True
Angela,Morris,Angela_Morris@murray.com,19760702,Morris_9ba0c,True
Brenda,Long,Brenda_Long@carter.net,19510914,Long_f0fca,True
Megan,Taylor,Megan_Taylor@montgomery.com,19930510,Taylor_757b6,True
Kelly,Morales,Kelly_Morales@sanchez.com,19800227,Morales_3cabc,True
Sheri,Johnson,Sheri_Johnson@lucas.com,19880422,Johnson_5c594,True
Lori,Pacheco,Lori_Pacheco@ayala.com,19620630,Pacheco_7ccf5,True
Sandra,Schmidt,Sandra_Schmidt@herrera.com,19590711,Schmidt_be25c,True
Ms.,Rachel,Rachel_Hill@gutierrez.com,19541202,Rachel_2b641,True
Emily,Case,Emily_Case@lewis.com,19850508,Case_1fe51,True
Seth,Alvarez,Seth_Alvarez@conrad.com,19800108,Alvarez_af321,True
Jose,Reyes,Jose_Reyes@garcia.com,19700929,Reyes_0a636,True
Zachary,Le,Zachary_Le@whitaker.com,19851028,Le_44e84,True
Rhonda,Anthony,Rhonda_Anthony@lawson.com,19740915,Anthony_91ec3,True
Erin,Davis,Erin_Davis@sanchez.net,19600917,Davis_dbcb2,True
Lucas,Brown,Lucas_Brown@miller.com,19891101,Brown_1ebf8,True
William,Garcia,William_Garcia@powell.com,19850912,Garcia_72e9b,True
John,Frank,John_Frank@martin.com,19500519,Frank_4dfb9,True
Nicole,Schmidt,Nicole_Schmidt@stephens.com,19651109,Schmidt_54bf2,True
Marcus,Rodriguez,Marcus_Rodriguez@jones.com,19690511,Rodriguez_3a35b,True
Samuel,Solomon,Samuel_Solomon@wolf.net,19871230,Solomon_23bae,True
Katrina,Miller,Katrina_Miller@grimes.com,19540308,Miller_5c2c0,True
Lori,Fuller,Lori_Fuller@gordon.com,19680101,Fuller_9068b,True
Holly,James,Holly_James@macdonald.com,19641104,James_e7a3a,True
Alicia,Mccarty,Alicia_Mccarty@beasley.com,19820916,Mccarty_a4b9d,True
Zoe,Christian,Zoe_Christian@grant.com,19990319,Christian_90eb3,True
Nicholas,Watson,Nicholas_Watson@williams.com,19620403,Watson_61db6,True
Jillian,Knight,Jillian_Knight@davenport.com,19881108,Knight_10192,True
Ryan,Fisher,Ryan_Fisher@fletcher.com,19871030,Fisher_27703,True
Stephanie,Howe,Stephanie_Howe@allen.com,19630905,Howe_a7c94,True
Kenneth,Kim,Kenneth_Kim@duran.com,19990505,Kim_c0e4a,True
Andrew,Macias,Andrew_Macias@douglas.com,19661013,Macias_a4116,True
Elizabeth,Huffman,Elizabeth_Huffman@zamora.com,19580918,Huffman_fb25a,True
Christina,Stone,Christina_Stone@medina.com,19930320,Stone_9ab9f,True
Alexander,Merritt,Alexander_Merritt@butler.net,19800913,Merritt_696fd,True
Kelly,Sanders,Kelly_Sanders@coleman.com,19520413,Sanders_e9c2f,True
Matthew,Jones,Matthew_Jones@arnold.com,20000615,Jones_fae51,True
Sarah,David,Sarah_David@collier.net,19981216,David_39e9f,True
Carmen,Barajas,Carmen_Barajas@smith.com,19810526,Barajas_62836,True
Angela,Johnson,Angela_Johnson@stewart.com,19840827,Johnson_5dcba,True
Katherine,Hill,Katherine_Hill@tran.com,19830918,Hill_e971e,True
Kristin,Hart,Kristin_Hart@ortega.com,19661217,Hart_3b264,True
Jacqueline,Ho,Jacqueline_Ho@henry.com,19610131,Ho_73551,True
Michael,Knight,Michael_Knight@davidson.com,19870408,Knight_e66ab,True
Heather,Arroyo,Heather_Arroyo@martinez.com,19790709,Arroyo_44022,True
Lori,Larson,Lori_Larson@flowers.com,19630807,Larson_06714,True
Sarah,Davila,Sarah_Davila@nash.com,19790906,Davila_1977b,True
Karen,Oneill,Karen_Oneill@gomez.com,19921004,Oneill_7278c,True
Nicholas,Mills,Nicholas_Mills@williams.com,19631001,Mills_f511a,True
Cynthia,Bailey,Cynthia_Bailey@oneill.com,19790825,Bailey_13beb,True
John,Wright,John_Wright@harris.com,19831019,Wright_fefcf,True
Lisa,Moore,Lisa_Moore@ramos.com,19941119,Moore_a6529,True
Julian,Newman,Julian_Newman@haynes.com,19580313,Newman_15a27,True
Thomas,Ferguson,Thomas_Ferguson@guzman.com,19591213,Ferguson_fb458,True
Lauren,Rodriguez,Lauren_Rodriguez@soto.com,19931016,Rodriguez_a9b99,True
Richard,Anderson,Richard_Anderson@white.com,19580607,Anderson_7118f,True
Martin,Allen,Martin_Allen@steele.com,20020924,Allen_7a4f2,True
Derrick,Sanchez,Derrick_Sanchez@mitchell.com,19700424,Sanchez_9f266,True
